#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
7,,0,City,1,4,,2,15028 Ambition,"1,495",$177,Pending,,Yoli,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
28,,100,Finished,1,4,,2,15024 Destination,"1,522",$183,Pending,,Ayde T,"$277,950.00","$5,000",,"$1,752","$1,810.00",81.07,127.39,📁
6,,0,City,1,3,,2,15024 Ambition,"1,583",$167,Pending,,Karla,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
5,,0,City,1,3,,2,15020 Ambition,"1,527",$174,Pending,,Carmella,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
4,,0,City,1,4,,2,15016 Ambition,"1,535",$173,Pending,,Ayde,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
3,,25,Framing,1,4,,2,15012 Ambition,"1,495",$177,Pending,,Yoli,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
2,,50,Texture,1,3,,2,15008 Ambition,"1,583",$167,Pending,,Karla,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
1,,50,Texture,1,3,,2,15004 Ambition,"1,527",$174,Pending,,Carmella,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
22,,70,Cabinets / Countertops,1,4,,2,15241 Purpose,"1,535",$173,Sold,,Ayde,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
16,,70,Cabinets / Countertops,1,4,,2,15240 Imagine,"1,535",$173,Sold,,Ayde,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
21,,45,Sheetrock,1,3,,2,15236 Imagine,"1,527",$174,Sold,,Carmella,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
24,,45,Sheetrock,1,3,,2,15221 Purpose,"1,527",$174,Sold,,Carmella,"$264,950.00","$5,000",,"$1,670","$1,725.00",77.28,121.44,📁
